,Innings 1 Team 1 Runs,Innings 1 Team 1 Wickets,Innings 1 Team 1 Extras,Innings 2 Team 1 Runs,Innings 2 Team 1 Wickets,Innings 2 Team 1 Extras,Innings 1 Team 2 Runs,Innings 1 Team 2 Wickets,Innings 1 Team 2 Extras,Innings 2 Team 2 Runs,Innings 2 Team 2 Wickets,Innings 2 Team 2 Extras,,
count,2473,2473,2473,2156,2156,2156,2455,2455,2455,1915,1915,1915,,"As expected, isn't always an innings after the first"
mean,329.00,9.00,17.00,241.00,8.00,14.00,316.00,10.00,18.00,185.00,7.00,12.00,,
std,136.00,1.00,10.00,106.00,3.00,9.00,137.00,1.00,11.00,101.00,4.00,9.00,,
min,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,All to be expected over a lot of matches
25%,225.00,10.00,10.00,170.00,6.00,8.00,215.00,10.00,10.00,111.00,3.00,5.00,,
50%,312.00,10.00,15.00,234.00,10.00,13.00,300.00,10.00,16.00,178.00,8.00,10.00,,
75%,426.00,10.00,22.00,303.00,10.00,19.00,406.00,10.00,24.00,250.00,10.00,17.00,,
max,903.00,10.00,64.00,680.00,10.00,68.00,952.00,10.00,76.00,657.00,10.00,61.00,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"As expected, no values greater than 10",,,"As expected, no values greater than 10",,,"As expected, no values greater than 10",,,"As expected, no values greater than 10",,,
,,"Heavily right skewed, as often as not lose 10 wickets",,,"Heavily right skewed, as often as not lose 10 wickets",,,"Heavily right skewed, as often as not lose 10 wickets",,,"Slightly less right skewed, but in 4th innings don't always need all 10",,,
